Food Description,Calories (kcal),Total Fat (g),Cholesterol (mg),Carbohydrate (g),Sugar (g),Protein (g),cluster
"CANDIES,HERSHEY,REESESTICKS CRISPY WAFERS,PNUT BUT,MILK CHOC",521.0,31.34,6.0,55.38,40.33,9.53,0
"CANDIES,HERSHEY,KIT KAT BIG KAT BAR",520.0,27.84,9.0,63.64,53.96,6.24,0
"CANDIES,REESE'S,FAST BREAK,MILK CHOC PNT BTR & SFT NUGTS",474.0,23.42,4.0,61.6,53.08,8.66,0
"CANDIES,MARS SNACKFOOD US,DOVE MILK CHOC",546.0,31.72,18.0,59.78,55.45,5.94,0
"CANDIES,MARS SNACKFOOD US,DOVE DK CHOC",520.0,32.45,7.0,59.4,46.27,5.19,0
"CANDIES,MARS SNACKFOOD US,MILKYWAYCARAML,MILKCHOCOV",463.0,19.17,20.0,68.49,58.65,4.28,0
"CANDIES,MARS SNACKFOOD US,MILKY WAY CARML. DKCHOCCOV",458.0,20.42,17.0,67.56,54.08,3.82,0
"ICE CREAMS,VANILLA,LT,NO SUGAR ADDED",169.0,7.45,27.0,21.42,6.46,3.97,1
"FROZEN NOVELTIES,FRUIT & JUC BARS",87.0,0.1,0.0,20.2,17.48,1.2,1
"ICE CREAMS,CHOC,LT,NO SUGAR ADDED",173.0,5.74,16.0,26.79,5.65,3.54,1
"CANDIES,DK CHOC COATD COFFEE BNS",540.0,30.0,13.0,59.95,42.5,7.5,0
"SNACKS,GENERAL MILLS,BETTY CROCKER FRT RL UPS,BRY FLV,W/VT C",373.0,3.5,41.551994091580504,85.2,38.7,0.1,0
"ICE CREAMS,CHOC",216.0,11.0,34.0,28.2,25.36,3.8,0
"ICE CREAMS,STRAWBERRY",192.0,8.4,29.0,27.6,8.256540404040422,3.2,1
"SNACKS,FARLEY CANDY,FARLEY FRUIT SNACKS,W/VITAMINS A,C,&E",341.0,0.0,41.551994091580504,80.9,8.256540404040422,4.4,0
"SNACKS,SUNKIST,SUNKIST FRUIT ROLL,STRAWBERRY,W/VITMNS A,C,&E",342.0,1.0,41.551994091580504,82.7,8.256540404040422,0.6,0
"SNACKS,FRUIT LEATHER,PIECES,W/VIT C",373.0,3.5,0.0,85.2,8.256540404040422,0.1,0
"CANDIES,MILK CHOC COATD COFFEE BNS",549.0,33.18,20.0,55.25,50.75,7.41,0
"FROZEN NOVELTIES,ICE TYPE,LIME",128.0,0.0,0.0,32.6,32.6,0.4,0
"FROZEN NOVELTIES,ICE TYPE,ITALIAN,REST-PREP",53.0,0.02,0.0,13.5,8.256540404040422,0.03,1
"FROZEN NOVELTIES,ICE TYPE,POP",79.0,0.24,0.0,19.23,13.66,0.0,1
"CANDIES,MARS SNACKFOOD US,M&M'S CRISPY CHOC CANDIES",475.0,19.32,12.0,72.4,58.94,4.28,0
"FROZEN YOGURTS,VANILLA,SOFT-SERVE",159.0,5.6,2.0,24.2,24.0,4.0,1
"FRUIT BUTTERS,APPLE",173.0,0.3,0.0,42.47,35.3,0.39,0
"CANDIES,MARS SNACKFOOD US,SNICKERS MUNCH BAR",536.0,36.22,24.0,43.64,30.87,15.25,0
HONEY,304.0,0.0,0.0,82.4,82.12,0.3,0
JAMS AND PRESERVES,278.0,0.07,0.0,68.86,48.5,0.37,0
JELLIES,266.0,0.02,0.0,69.95,51.22,0.15,0
"CANDIES,FUDGE,CHOC MARSHMLLW,W/ NUTS,PREPARED-BY-RECIPE",474.0,21.11,23.0,67.69,8.256540404040422,3.24,0
"CANDIES,MARS SNACKFOOD US,SNICKERS ALMOND BAR",472.0,22.4,13.0,64.67,53.93,5.4,0
"MARMALADE,ORANGE",246.0,0.0,0.0,66.3,60.0,0.3,0
MOLASSES,290.0,0.1,0.0,74.73,55.49,0.0,0
"CANDIES,MARS SNACKFOOD US,POP SNICKERS BITE SIZE CANDIES",480.0,24.32,13.0,61.07,51.69,7.15,0
"CANDIES,MARS SNACKFOOD US,POP MILKY WAY BITE SIZE",463.0,18.0,11.0,71.85,61.08,3.3,0
"CANDIES,MARS SNACK US,POP'ABLES 3 MUSKETEERS BITE SIZE",443.0,15.17,7.0,75.94,67.0,2.59,0
"CANDIES,MARS SNACK US,STARBURST FRUIT CHEWS,FRT&CREM",408.0,8.36,0.0,82.43,57.98,0.41,0
"PECTIN,UNSWTND,DRY MIX",325.0,0.3,0.0,90.4,8.256540404040422,0.3,0
"PIE FILLINGS,APPL,CND",100.0,0.1,0.0,26.1,13.8,0.1,1
"CANDIES,MARS SNACKFOOD US,STARBURST FRUIT CHEWS,TROP",409.0,8.31,0.0,82.76,58.18,0.41,0
"PIE FILLINGS,CND,CHERRY",115.0,0.07,0.0,28.0,8.256540404040422,0.37,1
"CANDIES,MARS SNACKFOOD US,STARBURST SOUR FRUIT CHEWS",400.0,7.78,0.0,79.73,56.1,0.39,0
"PUDDINGS,BANANA,DRY MIX,INST",367.0,0.6,0.0,92.7,76.57,0.0,0
"PUDDINGS,BANANA,DRY MIX,INST,PREP W/ WHL MILK",115.0,2.8,9.0,19.76,17.38,2.62,1
"PUDDINGS,BANANA,DRY MIX,REG",366.0,0.4,0.0,93.0,74.32,0.0,0
"PUDDINGS,BANANA,DRY MIX,REG,PREP W/ WHL MILK",111.0,2.89,9.0,18.44,15.98,2.74,1
"DESSERTS,PUDD,COCNT CRM,DRY MIX,INST",415.0,10.0,0.0,83.5,64.0,0.9,0
"PUDDINGS,COCNT CRM,DRY MIX,INST,PREP W/ WHL MILK",117.0,3.5,11.0,19.1,8.256540404040422,2.9,1
"PUDDINGS,COCNT CRM,DRY MIX,REG",434.0,11.36,0.0,81.84,80.54,1.0,0
"PUDDINGS,COCNT CRM,DRY MIX,REG,PREP W/ WHL MILK",114.0,3.8,12.0,17.7,8.256540404040422,3.0,1
"CANDIES,MARS SNACKFOOD US,COCOAVIA CHOC BAR",539.0,29.3,0.0,62.99,39.19,5.81,0
"CANDIES,MARS SNACK US,COCOAVIA BLUEBERRY & ALMOND CHOC BAR",525.0,28.68,0.0,60.37,38.99,6.35,0
"CANDIES,MARS SNACKFOOD US,COCOAVIA CRISPY CHOC BAR",517.0,26.23,0.0,62.06,34.96,8.21,0
"PUDDINGS,LEMON,DRY MIX,INST",378.0,0.7,0.0,95.4,8.256540404040422,0.0,0
"PUDDINGS,LEMON,DRY MIX,INST,PREP W/ WHL MILK",115.0,2.9,11.0,20.1,8.256540404040422,2.7,1
"PUDDINGS,LEMON,DRY MIX,REG",363.0,0.5,0.0,91.8,8.256540404040422,0.1,0
"PUDDING,LEMON,DRY MIX,REG,PREP W/ SUGAR,EGG YOLK & H2O",109.0,1.12,49.0,24.2,13.51,0.65,1
"SUGARS,BROWN",380.0,0.0,0.0,98.09,97.02,0.12,0
"SUGARS,GRANULATED",387.0,0.0,0.0,99.98,99.8,0.0,0
"SUGARS,POWDERED",389.0,0.0,0.0,99.77,97.81,0.0,0
"SWEETENERS,TABLETOP,ASPRT,EQ,PACKETS",365.0,0.0,0.0,89.08,80.7,2.17,0
"SUGARS,MAPLE",354.0,0.2,0.0,90.9,84.87,0.1,0
"SYRUPS,CHOC,HERSHEY'S GENUINE CHOC FLAV LITE SYRUP",153.0,0.97,0.0,34.56,28.57,1.4,0
"SYRUPS,CHOC,FUDGE-TYPE",350.0,8.9,1.0,62.9,34.82,4.6,0
"SYRUPS,CORN,DK",286.0,0.0,0.0,77.59,26.7,0.0,0
"SYRUPS,CORN,LT",283.0,0.2,0.0,76.79,26.77,0.0,0
"SYRUPS,CORN,HIGH-FRUCTOSE",281.0,0.0,0.0,76.0,26.36,0.0,0
"SYRUPS,MALT",318.0,0.0,0.0,71.3,71.3,6.2,0
"SYRUPS,MAPLE",260.0,0.06,0.0,67.04,60.44,0.04,0
"SYRUPS,SORGHUM",290.0,0.0,0.0,74.9,74.9,0.0,0
"CANDIES,MARS SNACKFOOD US,SNICKERS CRUNCHER",488.0,24.38,9.0,62.85,46.54,6.86,0
"SYRUPS,TABLE BLENDS,PANCAKE,W/2% MAPLE",265.0,0.1,0.0,69.6,42.0,0.0,0
"SYRUPS,TABLE BLENDS,CANE&15% MAPLE",278.0,0.1,0.0,69.52,68.2,0.0,0
"SYRUPS,TABLE BLENDS,CORN,REFINER,&SUGAR",319.0,0.0,0.0,83.9,8.256540404040422,0.0,0
"CANDIES,MARS SNACKFOOD US,SKITTLES WILD BERRY BITE SIZE",402.0,4.25,0.0,90.76,75.92,0.19,0
"TOPPINGS,BUTTERSCOTCH OR CARAMEL",252.0,0.1,1.0,65.9,8.256540404040422,1.5,0
"TOPPINGS,MARSHMLLW CRM",322.0,0.3,0.0,79.0,46.8,0.8,0
"TOPPINGS,PINEAPPLE",253.0,0.1,0.0,66.4,21.01,0.1,0
"TOPPINGS,NUTS IN SYRUP",448.0,22.0,0.0,58.08,36.72,4.5,0
"CANDIES,MARS SNACKFOOD US,SKITTLES TROPICAL BITE SIZE CAND",405.0,4.34,0.0,90.77,75.76,0.19,0
"CANDIES,MARS SNACKFOOD US,SKITTLES SOURS ORIGINAL",401.0,4.0,0.0,91.02,73.16,0.18,0
"CANDIES,MARS SNACKFOOD US,SKITTLES ORIGINAL BITE SIZE CAND",405.0,4.37,0.0,90.78,75.84,0.19,0
"FROSTINGS,VANILLA,CREAMY,DRY MIX,PREP W/ MARGARINE",413.0,12.74,0.0,74.28,8.256540404040422,0.34,0
"FROSTINGS,CHOC,CREAMY,DRY MIX,PREP W/ MARGARINE",404.0,12.87,0.0,71.02,8.256540404040422,1.1,0
"FROSTINGS,GLAZE,PREPARED-FROM-RECIPE",341.0,0.53,1.0,83.65,80.44,0.44,0
"CANDIES,FUDGE,CHOC MARSHMLLW,PREPARED-FROM-RECIPE",453.0,17.48,25.0,71.34,64.06,2.26,0
"CANDIES,TAFFY,PREPARED-FROM-RECIPE",397.0,3.33,9.0,91.56,68.48,0.03,0
"CANDIES,TOFFEE,PREPARED-FROM-RECIPE",560.0,32.75,104.0,64.72,63.47,1.07,0
"CANDIES,DIVINITY,PREPARED-FROM-RECIPE",364.0,0.06,0.0,89.05,78.96,1.32,0
"FROZEN NOVELTIES,ICE TYPE,PINEAPPLE-COCONUT",113.0,2.6,0.0,23.9,8.256540404040422,0.0,1
"FROZEN YOGURTS,CHOC,SOFT-SERVE",160.0,6.0,5.0,24.9,8.256540404040422,4.0,1
BANANA CHIPS,519.0,33.6,0.0,58.4,35.34,2.3,0
"CORNNUTS,BARBECUE-FLAVOR",436.0,14.3,0.0,71.7,8.256540404040422,9.0,0
"CORNNUTS,NACHO-FLAVOR",438.0,14.2,2.0,71.6,8.256540404040422,9.4,0
"CRISPED RICE BAR,ALMOND",458.0,20.4,0.0,64.6,8.256540404040422,7.0,0
"GRANOLA BARS,SOFT,UNCOATED,CHOC CHIP",418.0,16.57,0.0,70.2,28.92,5.65,0
"GRANOLA BARS,SOFT,UNCOATED,CHOC CHIP,GRAHAM&MARSHMLLW",427.0,15.5,1.0,70.8,8.256540404040422,6.1,0
"GRANOLA BARS,SOFT,UNCOATED,NUT&RAISIN",454.0,20.4,1.0,63.6,8.256540404040422,8.0,0
"SNACKS,BF STKS,SMOKED",550.0,49.6,133.0,5.4,8.256540404040422,21.5,0
"PORK SKINS,BARBECUE-FLAVOR",538.0,31.8,115.0,1.6,8.256540404040422,57.9,1
"FROSTING,GLAZ,CHC,PREP-FRM-RCIP,W/ BUTR,NFSMI RECIP NO. C-32",359.0,7.17,18.0,72.18,64.3,1.42,0
"SNACK,POTATO CHIPS,MADE FROM DRIED POTATOES,PLN",559.0,38.41,0.0,52.02,1.14,4.45,0
"POTATO CHIPS,PLAIN,SALTED",542.0,36.4,0.0,50.81,0.37,6.56,0
"POTATO CHIPS,MADE FROM DRIED POTATOES,CHEESE-FLAVOR",551.0,37.0,4.0,50.6,8.256540404040422,7.0,0
"SNACKS,RICE CAKES,BROWN RICE,CORN",385.0,3.2,0.0,81.2,8.256540404040422,8.4,0
"RICE CAKES,BROWN RICE,MULTIGRAIN",387.0,3.5,0.0,80.1,8.256540404040422,8.5,0
"SNACKS,POTATO STKS",522.0,34.4,0.0,53.3,0.22,6.7,0
"RICE CAKES,BROWN RICE,RYE",386.0,3.8,0.0,79.9,8.256540404040422,8.1,0
"SESAME STKS,WHEAT-BASED,SALTED",541.0,36.7,0.0,46.5,0.19,10.9,0
CORN CAKES,387.0,2.4,0.0,83.4,23.47,8.1,0
"GRANOLA BARS,HARD,PNUT BUTTER",483.0,23.8,0.0,62.3,8.256540404040422,9.8,0
"POTATO CHIPS,CHEESE-FLAVOR",496.0,27.2,4.0,57.7,8.256540404040422,8.5,0
"SNACKS,POTATO CHIPS,RED FAT",471.0,20.8,0.0,66.9,0.22,7.1,0
"SNACKS,POTATO CHIPS,FAT-FREE,MADE W/OLESTRA",274.0,0.7,0.0,65.0,0.0,7.74,0
"SNACKS,TORTILLA CHIPS,NACHO-FLAVOR,RED FAT",445.0,15.2,3.0,71.6,8.256540404040422,8.7,0
"TORTILLA CHIPS,LOFAT,BKD WO/FAT",415.0,5.7,0.0,80.0,0.67,11.0,0
"CHEESE PUFFS & TWISTS,CORN BSD,BKD,LOFAT",432.0,12.1,1.0,72.35,7.29,8.5,0
"SNACKS,GRANOLA BAR,FRUIT-FILLED,NONFAT",342.0,0.9,0.0,77.6,55.34,5.9,0
"POPCORN,SUGAR SYRUP/CARAMEL,FAT-FREE",381.0,1.4,0.0,90.06,64.68,2.0,0
"POTATO CHIPS,FAT FREE,SALTED",379.0,0.6,0.0,83.76,3.69,9.64,0
"SNACKS,KELLOGG,KELLOGG'S RICE KRISPIES TREATS SQUARES",414.0,9.0,0.0,80.5,8.256540404040422,3.4,0
"SNACKS,KELLOGG'S LOFAT GRANOLA BAR,CRUNCHY ALMD/BRN SUGAR",390.0,7.4,0.0,78.0,8.256540404040422,8.0,0
"SNACKS,M&M MARS,KUDOS WHL GRAIN BARS,CHOC CHIP",420.0,13.02,136.0,72.31,38.78,4.47,0
"SNACKS,KELLOGG'S,NUTRI-GRAIN CRL BARS,FRUIT",376.0,8.11,1.0,70.33,32.43,5.41,0
"SNACKS,TORTILLA CHIPS,LOFAT,MADE W/OLESTRA,NACHO CHS",318.0,3.53,2.0,65.22,2.82,8.44,0
"SNACKS,POTATO CHIPS,FRM DRIED POTATOES,FAT-FREE,W/ OLESTRA",253.0,0.93,0.0,56.0,0.59,5.06,1
TARO CHIPS,498.0,24.9,0.0,68.1,3.82,2.3,0
"CANDIES,SEMISWEET CHOC,MADE W/BUTTER",477.0,29.7,18.0,63.4,8.256540404040422,4.2,0
"GELATIN DSSRT,DRY MIX,W/ ADDED VIT C,SODIUM-CITRATE & SALT",381.0,0.0,0.0,90.5,8.256540404040422,7.8,0
"GELATIN DSSRT,DRY MIX,RED CAL,W/ ASPRT,ADDED P,K,NA,VIT C",345.0,0.0,0.0,33.3,8.256540404040422,55.3,1
"GELATIN DSSRT,DRY MIX,RED CAL,W/ ASPRT,NO ADDED NA",345.0,0.0,0.0,33.3,8.256540404040422,55.3,1
"PUDDINGS,BANANA,DRY MIX,INST,W/ ADDED OIL",386.0,4.4,0.0,89.0,8.256540404040422,0.0,0
"PUDDINGS,BANANA,DRY MIX,REG,W/ ADDED OIL",387.0,5.0,0.0,88.4,8.256540404040422,0.0,0
"PUDDINGS,LEMON,DRY MIX,REG,W/ ADDED OIL,K,NA",366.0,1.5,0.0,90.3,8.256540404040422,0.1,0
"PUDDINGS,TAPIOCA,DRY MIX,W/ NO ADDED SALT",369.0,0.1,0.0,94.3,8.256540404040422,0.1,0
"PUDDINGS,VANILLA,DRY MIX,REG,W/ ADDED OIL",369.0,1.1,0.0,92.4,8.256540404040422,0.3,0
"JAMS&PRESERVES,APRICOT",242.0,0.2,0.0,64.4,43.4,0.7,0
"SYRUPS,TABLE BLENDS,PANCAKE,W/2% MAPLE,W/ K",265.0,0.1,0.0,69.6,8.256540404040422,0.0,0
"CORN CAKES,VERY LO NA",387.0,2.4,0.0,83.4,8.256540404040422,8.1,0
"SNACKS,CORN-BASED,EXTRDD,PUFFS OR TWISTS,CHEESE-FLAVOR,UNENR",558.0,35.76,4.0,54.1,2.76,5.76,0
"SNACKS,CORN-BASE,EXTRUD,CHIPS,BARBECUE-FLAVOR,W/ENR MASA FLR",523.0,32.7,0.0,56.2,8.256540404040422,7.0,0
"POPCORN,AIR-POPPED,WHITE POPCORN",382.0,4.2,0.0,77.9,8.256540404040422,12.0,0
"POPCORN,OIL-POPPED,WHITE POPCORN",500.0,28.1,0.0,57.2,8.256540404040422,9.0,0
"POTATO CHIPS,PLN,MADE W/PART HYDR SOYBN OIL,SALTED",536.0,34.6,0.0,52.9,8.256540404040422,7.0,0
"POTATO CHIPS,PLN,MADE W/PART HYDR SOYBN OIL,UNSALTED",536.0,34.6,0.0,52.9,8.256540404040422,7.0,0
"POTATO CHIPS,PLN,UNSALTED",536.0,34.6,0.0,52.9,0.22,7.0,0
"PRETZELS,HARD,PLN,MADE W/UNENR FLR,SALTED",381.0,3.5,0.0,79.2,8.256540404040422,9.1,0
"PRETZELS,HARD,PLN,MADE W/UNENR FLR,UNSALTED",381.0,3.5,0.0,79.2,8.256540404040422,9.1,0
"SNACKS,PRETZELS,HARD,PLN,MADE W/ ENR FLR,UNSALTED",381.0,3.5,0.0,79.2,2.21,9.1,0
"RICE CAKES,BROWN RICE,PLN,UNSALTED",387.0,2.8,0.0,81.5,0.88,8.2,0
"RICE CAKES,BROWN RICE,BUCKWHEAT,UNSALTED",380.0,3.5,0.0,80.1,8.256540404040422,9.0,0
"RICE CAKES,BROWN RICE,MULTIGRAIN,UNSALTED",387.0,3.5,0.0,80.1,8.256540404040422,8.5,0
"RICE CAKES,BROWN RICE,SESAME SD,UNSALTED",392.0,3.8,0.0,81.5,8.256540404040422,7.6,0
"SESAME STKS,WHEAT-BASED,UNSALTED",541.0,36.7,0.0,46.5,8.256540404040422,10.9,0
"TRAIL MIX,REG,UNSALTED",462.0,29.4,0.0,44.9,8.256540404040422,13.8,0
"TRAIL MIX,REG,W/CHOC CHIPS,UNSALTED NUTS&SEEDS",484.0,31.9,4.0,44.9,8.256540404040422,14.2,0
"POTATO CHIPS,WO/SALT,RED FAT",487.0,20.8,0.0,67.8,0.22,7.1,0
"TORTILLA CHIPS,LOFAT,UNSALTED",416.0,5.7,0.0,80.1,0.85,11.0,0
"FROZEN NOVELTIES,JUC TYPE,POPSICLE SCRIBBLERS",81.0,0.24,41.551994091580504,19.68,14.57,0.0,1
"SNACKS,TORTILLA CHIPS,NACHO-FLAVOR,MADE W/ENR MASA FLR",498.0,25.6,3.0,62.4,8.256540404040422,7.8,0
"CANDIES,SUGAR-COATED ALMONDS",474.0,17.93,0.0,68.26,62.5,10.0,0
"COCOA,DRY PDR,HI-FAT OR BRKFST,PLN",486.0,23.71,0.0,51.39,1.55,16.8,0
"COCOA,DRY PDR,HI-FAT OR BRKFST,PROC W/ALKALI",479.0,23.71,0.0,49.71,1.53,16.8,0
"CANDIES,SOFT FRUIT & NUT SQUARES",390.0,9.52,0.0,73.81,45.95,2.31,0
"ICE CREAMS,VANILLA,FAT FREE",138.0,0.0,0.0,30.06,6.3,4.48,1
"SWEETENERS,TABLETOP,SUCRALOSE,SPLENDA PACKETS",336.0,0.0,0.0,91.17,80.33,0.0,0
"FROZEN NOVELTIES,NO SUGAR ADDED,FUDGESICLE POPS",105.0,0.97,2.0,22.28,3.93,3.6,1
"FROZEN NOVELTIES,FAT FREE FUDGESICLE BARS",127.0,0.66,3.0,26.94,20.1,5.55,1
"FROZ NOVELTIES,ICE TYPE,SUGAR FREE,ORNGE,CHRY,& GRP POPSICLE",21.0,0.0,0.0,5.14,1.52,0.0,1
"FRZ NVL, KLONDIKE,SLIM-A-BEAR FUDG BR,98% FT FR,NO SGR ADDED",124.0,1.88,7.0,30.07,7.1,4.31,1
"ICE CREAMS,BREYERS,ALL NAT LT VANILLA",162.0,4.59,15.0,25.3,22.78,4.84,1
"ICE CREAMS,BREYERS,ALL NAT LT FRENCH VANILLA",173.0,5.56,53.0,26.03,21.11,4.82,1
"ICE CREAMS,BREYERS,98% FAT FREE VANILLA",137.0,2.2,8.0,30.51,20.93,3.3,1
"ICE CREAMS,BREYERS,ALL NAT LT VANILLA CHOC STRAWBERRY",161.0,4.35,14.0,26.06,22.47,4.69,1
"ICE CREAMS,BREYERS,ALL NAT LT MINT CHOC CHIP",196.0,7.09,15.0,28.39,25.38,4.69,1
"ICE CREAMS,BREYERS,NO SUGAR ADDED,BUTTER PECAN",180.0,10.3,18.0,21.3,5.9,3.99,1
"ICE CREAMS,BREYERS,NO SUGAR ADDED,FRENCH VANILLA",154.0,7.05,53.0,20.75,7.7,4.5,1
"ICE CREAMS,BREYERS,NO SUGAR ADDED,VANILLA",143.0,6.2,18.0,21.92,6.09,3.68,1
"ICE CREAMS,BREYERS,NO SUGAR ADDED,VANILLA FUDGE TWIRL",153.0,5.68,16.0,25.63,5.49,3.53,1
"ICE CREAMS,BREYERS,NO SUGAR ADDED,VANILLA CHOC STRAWBERRY",143.0,6.26,18.0,21.7,6.15,3.71,1
"FROZEN NOVELTIES,KLONDIKE,SLIM-A-BEAR VANILLA CONE",222.0,4.0,3.0,44.75,24.75,3.72,0
"FROZEN NOVELTIES,KLONDIKE,SLIM-A-BEAR CHOC CONE",224.0,4.1,2.0,45.32,24.62,4.09,0
"FROZEN NOVELTIES,KLONDIKE,SLIM-A-BEAR VANILLA SNDWCH",211.0,2.34,4.0,44.2,21.82,5.96,0
"FROZEN NOVELTIES,KLONDIKE,SLIM-A-BEAR CHOC SNDWCH",212.0,2.43,4.0,44.12,21.5,6.21,0
"FROZEN NOVELTIES,KLONDIKE,SLIM-A-BEAR MINT SNDWCH",210.0,2.34,4.0,44.16,21.81,5.96,0
"FROZEN NOVL,KLONDIKE,SLIM-A-BEAR,NO SGR ADDED,STICKLESS BAR",224.0,11.93,8.0,27.09,8.64,5.16,1
"FROZEN NOVELTIES,NO SUGAR ADDED CREAMSICLE POPS",57.0,0.86,3.0,14.54,2.75,1.78,1
"FROZEN NOVELTIES,SUGAR FREE,CREAMSICLE POPS",49.0,2.33,0.0,11.95,0.43,1.37,1
"ICE CREAMS,BREYERS,ALL NAT LT FRENCH CHOC",201.0,7.28,41.0,29.68,24.04,5.3,1
"ICE CREAMS,BREYERS,98% FAT FREE CHOC",136.0,2.17,7.0,30.18,20.29,3.89,1
"ICE CREAMS,BREYERS,NO SUGAR ADDED,CHOC CARAMEL",151.0,5.8,16.0,25.17,5.81,3.54,1
"CANDIES,REESE'S FAST BREAK,CANDY BAR",495.0,23.21,9.0,63.9,53.57,8.93,0
"CANDIES,MARS SNACKFOOD US,COCOAVIA CHOC COVERED ALMONDS",573.0,37.07,0.0,50.22,26.92,9.51,0
"ICE CREAMS,REG,LO CARBOHYDRATE,VANILLA",216.0,12.7,32.0,22.23,6.35,3.17,1
"ICE CREAMS,REG,LO CARBOHYDRATE,CHOC",237.0,12.7,34.0,26.8,6.35,3.8,1
"CHOCOLATE,DK,45- 59% CACAO SOL",546.0,31.28,8.0,61.17,47.9,4.88,0
"CHOCOLATE,DK,60-69% CACAO SOL",579.0,38.31,6.0,52.42,36.71,6.12,0
"CHOCOLATE,DK,70-85% CACAO SOL",598.0,42.63,3.0,45.9,23.99,7.79,0
"CANDIES,CHOC,DK,NFS (45-59% CACAO SOL 90%; 60-69% CACAO SOL",550.0,32.2,7.0,59.97,46.14,5.09,0
"SWEETENERS,FOR BAKING,BROWN,CONTAINS SUGAR & SUCRALOSE",388.0,0.0,41.551994091580504,97.11,45.66,0.0,0
"SWEETENERS,FOR BAKING,CONTAINS SUGAR & SUCRALOSE",398.0,0.0,41.551994091580504,99.53,47.05,0.0,0
"SUGAR,TURBINADO",399.0,0.0,41.551994091580504,99.8,99.19,0.0,0
"SWEETENERS,SUGAR SUB,GRANULATED,BROWN",347.0,0.0,41.551994091580504,84.77,4.03,2.06,0
"CANDIES,CRISPY BAR W/ PNUT BUTTER FILLING",542.0,31.34,5.0,55.53,40.33,9.53,0
"AMARANTH,UNCKD",371.0,7.02,0.0,65.25,1.69,13.56,0
"AMARANTH GRAIN,CKD",102.0,1.58,41.551994091580504,18.69,8.256540404040422,3.8,1
ARROWROOT FLOUR,357.0,0.1,0.0,88.15,8.256540404040422,0.3,0
"BARLEY,HULLED",354.0,2.3,0.0,73.48,0.8,12.48,0
"BARLEY,PEARLED,RAW",352.0,1.16,0.0,77.72,0.8,9.91,0
"BARLEY,PEARLED,COOKED",123.0,0.44,0.0,28.22,0.28,2.26,1
BUCKWHEAT,343.0,3.4,0.0,71.5,8.256540404040422,13.25,0
"BUCKWHEAT GROATS,RSTD,DRY",346.0,2.71,0.0,74.95,8.256540404040422,11.73,0
"BUCKWHEAT GROATS,RSTD,CKD",92.0,0.62,0.0,19.94,0.9,3.38,1
"BUCKWHEAT FLR,WHOLE-GROAT",335.0,3.1,0.0,70.59,2.6,12.62,0
"BULGUR,DRY",342.0,1.33,0.0,75.87,0.41,12.29,0
"BULGUR,COOKED",83.0,0.24,0.0,18.58,0.1,3.08,1
"CORN,YELLOW",365.0,4.74,0.0,74.26,0.64,9.42,0
"CORN BRAN,CRUDE",224.0,0.92,0.0,85.64,0.0,8.36,0
"CORN FLR,WHOLE-GRAIN,YEL",361.0,3.86,0.0,76.85,0.64,6.93,0
"CORN FLR,MASA,ENR,WHITE",365.0,3.86,0.0,76.29,1.61,9.28,0
"CORN FLR,DEGERMED,UNENR,YEL",375.0,1.39,0.0,82.75,0.64,5.59,0
"CORN FLR,MASA,UNENR,WHITE",365.0,3.86,0.0,76.29,1.61,9.28,0
"CORNMEAL,WHOLE-GRAIN,YEL",362.0,3.59,0.0,76.89,0.64,8.12,0
"CORNMEAL,DEGERMED,ENR,YEL",370.0,1.75,0.0,79.45,1.61,7.11,0
"CORNMEAL,SELF-RISING,BOLTED,PLN,ENR,YEL",334.0,3.4,0.0,70.28,8.256540404040422,8.28,0
"CORNMEAL,SELF-RISING,BOLTED,W/WHEAT FLR,ENR,YEL",348.0,2.85,0.0,73.43,8.256540404040422,8.41,0
"CORNMEAL,SELF-RISING,DEGERMED,ENR,YEL",355.0,1.72,0.0,74.79,8.256540404040422,8.41,0
CORNSTARCH,381.0,0.05,0.0,91.27,0.0,0.26,0
"COUSCOUS,DRY",376.0,0.64,0.0,77.43,8.256540404040422,12.76,0
"COUSCOUS,COOKED",112.0,0.16,0.0,23.22,0.1,3.79,1
"HOMINY,CANNED,WHITE",72.0,0.88,0.0,14.26,1.82,1.48,1
"MILLET,RAW",378.0,4.22,0.0,72.85,8.256540404040422,11.02,0
"MILLET,COOKED",119.0,1.0,0.0,23.67,0.13,3.51,1
"OAT BRAN,RAW",246.0,7.03,0.0,66.22,1.45,17.3,0
"OAT BRAN,COOKED",40.0,0.86,0.0,11.44,8.256540404040422,3.21,1
"QUINOA,UNCKD",368.0,6.07,0.0,64.16,8.256540404040422,14.12,0
"RICE,BROWN,LONG-GRAIN,RAW",370.0,2.92,0.0,77.24,0.85,7.94,0
"RICE,BROWN,LONG-GRAIN,CKD",111.0,0.9,0.0,22.96,0.35,2.58,1
OATS,389.0,6.9,0.0,66.27,8.256540404040422,16.89,0
"RICE,BROWN,MEDIUM-GRAIN,RAW",362.0,2.68,0.0,76.17,8.256540404040422,7.5,0
"RICE,BROWN,MEDIUM-GRAIN,CKD",112.0,0.83,0.0,23.51,8.256540404040422,2.32,1
"RICE,WHITE,LONG-GRAIN,REG,RAW,ENR",365.0,0.66,0.0,79.95,0.12,7.13,0
"RICE,WHITE,LONG-GRAIN,REG,CKD",130.0,0.28,0.0,28.17,0.05,2.69,1
