Food Description,Calories (kcal),Total Fat (g),Cholesterol (mg),Carbohydrate (g),Sugar (g),Protein (g),cluster
KRAFT VELVEETA PAST PROCESS CHS SPRD,303.0,22.0,80.0,9.8,8.1,16.3,1
KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT,222.0,10.6,42.0,11.8,8.5,19.6,1
KRAFT BREAKSTONE'S RED FAT SOUR CRM,152.0,12.0,50.0,6.5,6.4,4.5,1
KRAFT BREAKSTONE'S FREE FAT FREE SOUR CRM,91.0,1.3,9.0,15.1,7.2,4.7,1
KRAFT BREYERS LOWFAT STRAWBERRY YOGURT (1% MILKFAT),96.0,0.8,9.0,18.2,17.4,3.8,1
KRAFT BREYERS LT N' LVLY LOWFAT STR'BERY YOGURT (1% MILKFAT),108.0,0.8,9.0,21.9,19.6,3.2,1
KRAFT BREYERS SMOTH&CRMY LOWFAT STR'BERY YOGURT (1% MILKFAT),102.0,0.9,9.0,19.9,17.2,3.8,1
KRAFT BREYERS LT NONFAT STR'BERY YOGURT (W/ASPRT&FRUCT SW'T),55.0,0.2,5.0,9.9,7.7,3.4,1
"CREAM,HALF & HALF,FAT FREE",59.0,1.4,5.0,9.0,5.0,2.6,1
REDDI WIP FAT FREE WHIPPED TOPPING,149.0,5.0,16.0,25.0,16.0,3.0,1
"MILK,CHOC,FLUID,COMM,RED FAT,W/ ADDED CA",78.0,1.9,8.0,12.13,9.55,2.99,1
"YOGURT,FRUIT,LOFAT,W/LO CAL SWEETENER",105.0,1.41,6.0,18.6,2.9,4.86,1
"CHEESE,PARMESAN,DRY GRATED,RED FAT",265.0,20.0,88.0,1.37,0.0,20.0,1
"CREAM SUB,FLAV,LIQ",251.0,13.5,0.0,35.07,33.04,0.69,0
"CREAM SUB,FLAV,PDR",498.0,21.47,0.0,75.42,58.01,0.68,0
"CHEESE,PROVOLONE,RED FAT",274.0,17.6,55.0,3.5,0.55,24.7,1
"CHEESE,MEXICAN,BLEND,RED FAT",282.0,19.4,62.0,3.41,0.56,24.69,1
"EGG MIX,USDA CMDTY",555.0,34.5,975.0,23.97,2.46,35.6,1
"MILK,WHL,3.25% MILKFAT,WO/ ADDED VIT A & VITAMIN D",61.0,3.27,10.0,4.78,5.05,3.15,1
"MILK,DRY,WHL,WO/ ADDED VITAMIN D",496.0,26.71,97.0,38.42,38.42,26.32,0
"MILK,CND,EVAP,WO/ ADDED VIT A & VITAMIN D",135.0,7.56,29.0,10.04,10.04,6.81,1
"CHEESE PRODUCT,PAST PROCESS,AMERICAN,RED FAT,FORT W/ VIT D",240.0,14.1,53.0,10.6,8.02,17.6,1
"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ,FORT W/ VITAMIN D",99.0,1.15,5.0,18.64,18.64,3.98,1
"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ,FORT W/ VITAMIN D",102.0,1.08,4.0,19.05,19.05,4.37,1
"YOGURT,FRUIT VAR,NONFAT,FORT W/ VITAMIN D",95.0,0.2,2.0,19.0,19.0,4.4,1
"YOGURT,FRUIT,LOWFAT,W/ LO CAL SWTNR,FORT W/ VITAMIN D",105.0,1.41,6.0,18.6,2.9,4.86,1
"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ,FORT W/ VIT D",85.0,1.25,5.0,13.8,13.8,4.93,1
"YOGURT,VAN/LEM FLAV,NONFAT MILK,W/ LO-CAL SWTNR,FORT W/VIT D",43.0,0.18,2.0,7.5,7.5,3.86,1
"YOGURT,CHOC,NONFAT MILK,FORT W/ VITAMIN D",112.0,0.0,1.0,23.53,14.97,3.53,1
"PROTEIN SUPP,MILK BSD,MUSCLE MILK,PDR",411.0,17.14,21.0,18.5,5.71,45.71,1
"PROTEIN SUPP,MILK BSD,MUSCLE MILK LT,PDR",396.0,12.0,10.0,22.0,4.0,50.0,1
DULCE DE LECHE,315.0,7.35,29.0,55.35,49.74,6.84,0
"EGG SUB,LIQ OR FRZ,FAT FREE",48.0,0.0,0.0,2.0,2.0,10.0,1
"CHEESE,DRY WHITE,QUESO SECO",325.0,24.35,78.0,2.04,0.55,24.51,1
"CHEESE,FRSH,QUESO FRESCO",299.0,23.82,69.0,2.98,2.32,18.09,1
"CHEESE,WHITE,QUESO BLANCO",310.0,24.31,70.0,2.53,1.76,20.38,1
"MILK,BTTRMLK,FLUID,WHL",62.0,3.31,11.0,4.88,4.88,3.21,1
"YOGURT,VANILLA FLAVOR,LOWFAT MILK,SWTND W/ LO CAL SWTNR",86.0,1.25,5.0,13.8,5.43,4.93,1
"YOGURT,FRZ,FLAVORS NOT CHOC,NONFAT MILK,W/ LOW-CALORIE SWTNR",104.0,0.8,4.0,19.7,12.61,4.4,1
"ICE CRM,SOFT SERVE,CHOC",222.0,13.0,91.0,22.2,21.16,4.1,1
"ICE CRM,BAR OR STK,CHOC COVERED",331.0,24.1,28.0,24.5,18.3,4.1,0
ICE CRM SNDWCH,237.0,8.57,21.0,37.14,18.57,4.29,0
ICE CRM COOKIE SNDWCH,240.0,7.4,6.0,39.6,21.3,3.7,0
"ICE CRM CONE,CHOC COVERED,W/ NUTS,FLAVORS OTHER THAN CHOC",354.0,21.88,21.0,34.38,25.0,5.21,0
"ICE CRM SNDWCH,MADE W/ LT ICE CRM,VANILLA",186.0,3.04,7.0,39.64,17.86,4.29,1
"ICE CRM SNDWCH,VANILLA,LT,NO SUGAR ADDED",200.0,2.86,21.0,42.86,6.58,5.71,1
"FAT FREE ICE CRM,NO SUGAR ADDED,FLAVORS OTHER THAN CHOC",129.0,0.0,0.0,27.94,8.82,4.41,1
"MILK DSSRT BAR,FRZ,MADE FROM LOWFAT MILK",147.0,1.47,7.0,33.09,22.06,4.41,1
"NUTRITIONAL SUPP FOR PEOPLE W/ DIABETES,LIQ",88.0,3.08,2.0,11.88,2.64,4.4,1
"CHEESE,MEXICAN BLEND",358.0,28.51,95.0,1.75,1.23,23.54,1
"CHEESE PRODUCT,PAST PROCESS,AMERICAN,VITAMIN D FORT",310.0,22.63,79.0,8.52,6.57,18.18,1
"CHEESE,PAST PROCESS,AMERICAN,WO/ ADDED VITAMIN D",371.0,31.79,100.0,3.7,2.26,18.13,1
"CHEESE FD,PAST PROCESS,AMERICAN,WO/ ADDED VITAMIN D",330.0,25.63,98.0,8.56,5.59,16.86,1
"EGG,WHL,RAW,FRZ,SALTED",138.0,10.07,387.0,0.83,0.07,10.97,1
"ALLSPICE,GROUND",263.0,8.69,0.0,72.12,8.256540404040422,6.09,0
ANISE SEED,337.0,15.9,0.0,50.02,8.256540404040422,17.6,0
"SPICES,BASIL,DRIED",233.0,4.07,0.0,47.75,1.71,22.98,1
"SPICES,BAY LEAF",313.0,8.36,0.0,74.97,8.256540404040422,7.61,0
CARAWAY SEED,333.0,14.59,0.0,49.9,0.64,19.77,0
"SPICES,CARDAMOM",311.0,6.7,0.0,68.47,8.256540404040422,10.76,0
CELERY SEED,392.0,25.27,0.0,41.35,0.67,18.07,0
"CHERVIL,DRIED",237.0,3.9,0.0,49.1,8.256540404040422,23.2,1
CHILI POWDER,282.0,14.28,0.0,49.7,7.19,13.46,0
"CINNAMON,GROUND",247.0,1.24,0.0,80.59,2.17,3.99,0
"CLOVES,GROUND",274.0,13.0,0.0,65.53,2.38,5.97,0
"CORIANDER LEAF,DRIED",279.0,4.78,0.0,52.1,7.27,21.93,1
CORIANDER SEED,298.0,17.77,0.0,54.99,8.256540404040422,12.37,0
CUMIN SEED,375.0,22.27,0.0,44.24,2.25,17.81,0
CURRY POWDER,325.0,13.81,0.0,58.15,2.76,12.66,0
DILL SEED,305.0,14.54,0.0,55.17,8.256540404040422,15.98,0
"DILL WEED,DRIED",253.0,4.36,0.0,55.82,8.256540404040422,19.96,0
FENNEL SEED,345.0,14.87,0.0,52.29,8.256540404040422,15.8,0
FENUGREEK SEED,323.0,6.41,0.0,58.35,8.256540404040422,23.0,0
GARLIC POWDER,331.0,0.73,0.0,72.73,2.43,16.55,0
"GINGER,GROUND",335.0,4.24,0.0,71.62,3.39,8.98,0
"MACE,GROUND",475.0,32.38,0.0,50.5,8.256540404040422,6.71,0
"MARJORAM,DRIED",271.0,7.04,0.0,60.56,4.09,12.66,0
"SPICES,MUSTARD SD,GROUND",508.0,36.24,0.0,28.09,6.79,26.08,0
"NUTMEG,GROUND",525.0,36.31,0.0,49.29,28.49,5.84,0
ONION POWDER,341.0,1.04,0.0,79.12,6.63,10.41,0
"SPICES,OREGANO,DRIED",265.0,4.28,0.0,68.92,4.09,9.0,0
PAPRIKA,282.0,12.89,0.0,53.99,10.34,14.14,0
"PARSLEY,DRIED",292.0,5.48,0.0,50.64,7.27,26.63,1
"PEPPER,BLACK",251.0,3.26,0.0,63.95,0.64,10.39,0
"PEPPER,RED OR CAYENNE",318.0,17.27,0.0,56.63,10.34,12.01,0
"PEPPER,WHITE",296.0,2.12,0.0,68.61,8.256540404040422,10.4,0
POPPY SEED,525.0,41.56,0.0,28.13,2.99,17.99,0
POULTRY SEASONING,307.0,7.53,0.0,65.59,3.08,9.59,0
PUMPKIN PIE SPICE,342.0,12.6,0.0,69.28,7.76,5.76,0
"ROSEMARY,DRIED",331.0,15.22,0.0,64.06,8.256540404040422,4.88,0
SAFFRON,310.0,5.85,0.0,65.37,8.256540404040422,11.43,0
"SAGE,GROUND",315.0,12.75,0.0,60.73,1.71,10.63,0
"SAVORY,GROUND",272.0,5.91,0.0,68.73,8.256540404040422,6.73,0
"SPICES,TARRAGON,DRIED",295.0,7.24,0.0,50.22,8.256540404040422,22.77,0
"SPICES,THYME,DRIED",276.0,7.43,0.0,63.94,1.71,9.11,0
"TURMERIC,GROUND",354.0,9.88,0.0,64.93,3.21,7.83,0
"BASIL,FRESH",23.0,0.64,0.0,2.65,0.3,3.15,1
"DILL WEED,FRSH",43.0,1.12,0.0,7.02,8.256540404040422,3.46,1
"MUSTARD,PREPARED,YELLOW",67.0,4.01,0.0,5.33,0.86,4.37,1
"SALT,TABLE",0.0,0.0,0.0,0.0,0.0,0.0,1
"VINEGAR,CIDER",21.0,0.0,0.0,0.93,0.4,0.0,1
"THYME,FRSH",101.0,1.68,0.0,24.45,8.256540404040422,5.56,1
VANILLA EXTRACT,288.0,0.06,0.0,12.65,12.65,0.06,1
